2018-02-12 09:33:19," EDI_PROCESS_ORDER.do_inv_line_order ||===|| vendor==HARRAS @vend_inv# 162311, line 40. uni_inv# 162311, line 040",new line created for subscription order 911088F06: 911088F06/2,notify
2018-02-12 09:33:21," EDI_PROCESS_ORDER.do_inv_line_order ||===|| vendor==HARRAS @vend_inv# 162311, line 41. uni_inv# 162311, line 041",new line created for subscription order 257962F08: 257962F08/2,notify
2018-02-12 09:33:23," EDI_PROCESS_ORDER.do_inv_line_order ||===|| vendor==HARRAS @vend_inv# 162311, line 42. uni_inv# 162311, line 042",new line created for subscription order 117977F07: 117977F07/2,notify
2018-02-12 09:33:26," EDI_PROCESS_ORDER.do_inv_line_order ||===|| vendor==HARRAS @vend_inv# 162311, line 43. uni_inv# 162311, line 043",new line created for subscription order 101575F16: 101575F16/2,notify
2018-02-12 09:33:28," EDI_PROCESS_ORDER.do_inv_line_order ||===|| vendor==HARRAS @vend_inv# 162311, line 44. uni_inv# 162311, line 044",new line created for subscription order 912690F06: 912690F06/2,notify
2018-02-12 09:33:31," EDI_PROCESS_ORDER.do_inv_line_order ||===|| vendor==HARRAS @vend_inv# 162311, line 45. uni_inv# 162311, line 045",new line created for subscription order 904710F06: 904710F06/2,notify
2018-02-12 09:33:33," EDI_PROCESS_ORDER.do_inv_line_order ||===|| vendor==HARRAS @vend_inv# 162311, line 46. uni_inv# 162311, line 046",new line created for subscription order 964889F06: 964889F06/2,notify
2018-02-12 09:33:36," EDI_PROCESS_ORDER.do_inv_line_order ||===|| vendor==HARRAS @vend_inv# 162311, line 47. uni_inv# 162311, line 047",new line created for subscription order 908787F06: 908787F06/3,notify
2018-02-12 09:33:38," EDI_PROCESS_ORDER.do_inv_line_order ||===|| vendor==HARRAS @vend_inv# 162311, line 48. uni_inv# 162311, line 048",new line created for subscription order 912651F06: 912651F06/2,notify
2018-02-12 09:33:41," EDI_PROCESS_ORDER.do_inv_line_order ||===|| vendor==HARRAS @vend_inv# 162311, line 49. uni_inv# 162311, line 049",new line created for subscription order 945800F15: 945800F15/2,notify
2018-02-12 09:33:43," EDI_PROCESS_ORDER.do_inv_line_order ||===|| vendor==HARRAS @vend_inv# 162311, line 50. uni_inv# 162311, line 050",new line created for subscription order 911834F06: 911834F06/2,notify
2018-02-12 09:33:46," EDI_PROCESS_ORDER.do_inv_line_order ||===|| vendor==HARRAS @vend_inv# 162311, line 1. uni_inv# 162311, line 001",new line created for subscription order 909728F06: 909728F06/4,notify
2018-02-12 09:33:48," EDI_PROCESS_ORDER.do_inv_line_order ||===|| vendor==HARRAS @vend_inv# 162311, line 2. uni_inv# 162311, line 002",new line created for subscription order 909473F06: 909473F06/2,notify
2018-02-12 09:33:51," EDI_PROCESS_ORDER.do_inv_line_order ||===|| vendor==HARRAS @vend_inv# 162311, line 3. uni_inv# 162311, line 003",new line created for subscription order 1ACJ4749: 1ACJ4749/4,notify
2018-02-12 09:33:53," EDI_PROCESS_ORDER.do_inv_line_order ||===|| vendor==HARRAS @vend_inv# 162311, line 4. uni_inv# 162311, line 004",new line created for subscription order 1ABU2033: 1ABU2033/2,notify
2018-02-12 09:33:56," EDI_PROCESS_ORDER.do_inv_line_order ||===|| vendor==HARRAS @vend_inv# 162311, line 5. uni_inv# 162311, line 005",new line created for subscription order 908526F06: 908526F06/2,notify
2018-02-12 09:33:58," EDI_PROCESS_ORDER.do_inv_line_order ||===|| vendor==HARRAS @vend_inv# 162311, line 6. uni_inv# 162311, line 006",new line created for subscription order 950752F15: 950752F15/2,notify
2018-02-12 09:34:01," EDI_PROCESS_ORDER.do_inv_line_order ||===|| vendor==HARRAS @vend_inv# 162311, line 7. uni_inv# 162311, line 007",new line created for subscription order 475943F10: 475943F10/2,notify
2018-02-12 09:34:03," EDI_PROCESS_ORDER.do_inv_line_order ||===|| vendor==HARRAS @vend_inv# 162311, line 8. uni_inv# 162311, line 008",new line created for subscription order 943077F15: 943077F15/2,notify
2018-02-12 09:34:05," EDI_PROCESS_ORDER.do_inv_line_order ||===|| vendor==HARRAS @vend_inv# 162311, line 9. uni_inv# 162311, line 009",new line created for subscription order HV4398-98: HV4398-98/3,notify
2018-02-12 09:34:08," EDI_PROCESS_ORDER.do_inv_line_order ||===|| vendor==HARRAS @vend_inv# 162311, line 10. uni_inv# 162311, line 010",new line created for subscription order HV4395-98: HV4395-98/3,notify
2018-02-12 09:34:10," EDI_PROCESS_ORDER.do_inv_line_order ||===|| vendor==HARRAS @vend_inv# 162311, line 11. uni_inv# 162311, line 011",new line created for subscription order 942849F15: 942849F15/2,notify
2018-02-12 09:34:13," EDI_PROCESS_ORDER.do_inv_line_order ||===|| vendor==HARRAS @vend_inv# 162311, line 12. uni_inv# 162311, line 012",new line created for subscription order 626592F03: 626592F03/3,notify
2018-02-12 09:34:15," EDI_PROCESS_ORDER.do_inv_line_order ||===|| vendor==HARRAS @vend_inv# 162311, line 13. uni_inv# 162311, line 013",new line created for subscription order 738971F13: 738971F13/2,notify
2018-02-12 09:34:18," EDI_PROCESS_ORDER.do_inv_line_order ||===|| vendor==HARRAS @vend_inv# 162311, line 14. uni_inv# 162311, line 014",new line created for subscription order 912349F06: 912349F06/2,notify
2018-02-12 09:34:20," EDI_PROCESS_ORDER.do_inv_line_order ||===|| vendor==HARRAS @vend_inv# 162311, line 15. uni_inv# 162311, line 015",new line created for subscription order 908144F06: 908144F06/2,notify
2018-02-12 09:34:22," EDI_PROCESS_ORDER.do_inv_line_order ||===|| vendor==HARRAS @vend_inv# 162311, line 16. uni_inv# 162311, line 016",new line created for subscription order 910127F06: 910127F06/2,notify
2018-02-12 09:34:24," EDI_PROCESS_ORDER.do_inv_line_order ||===|| vendor==HARRAS @vend_inv# 162311, line 17. uni_inv# 162311, line 017",new line created for subscription order 908785F06: 908785F06/4,notify
2018-02-12 09:34:27," EDI_PROCESS_ORDER.do_inv_line_order ||===|| vendor==HARRAS @vend_inv# 162311, line 18. uni_inv# 162311, line 018",new line created for subscription order 943091F15: 943091F15/2,notify
2018-02-12 09:34:29," EDI_PROCESS_ORDER.do_inv_line_order ||===|| vendor==HARRAS @vend_inv# 162311, line 19. uni_inv# 162311, line 019",new line created for subscription order 910939F06: 910939F06/2,notify
2018-02-12 09:34:31," EDI_PROCESS_ORDER.do_inv_line_order ||===|| vendor==HARRAS @vend_inv# 162311, line 20. uni_inv# 162311, line 020",new line created for subscription order 4ACN1024: 4ACN1024/2,notify
2018-02-12 09:34:34," EDI_PROCESS_ORDER.do_inv_line_order ||===|| vendor==HARRAS @vend_inv# 162311, line 21. uni_inv# 162311, line 021",new line created for subscription order 177443F16: 177443F16/2,notify
2018-02-12 09:34:37," EDI_PROCESS_ORDER.do_inv_line_order ||===|| vendor==HARRAS @vend_inv# 162311, line 22. uni_inv# 162311, line 022",new line created for subscription order 1APL7801: 1APL7801/3,notify
2018-02-12 09:34:39," EDI_PROCESS_ORDER.do_inv_line_order ||===|| vendor==HARRAS @vend_inv# 162311, line 23. uni_inv# 162311, line 023",new line created for subscription order 1ABV2730: 1ABV2730/3,notify
2018-02-12 09:34:41," EDI_PROCESS_ORDER.do_inv_line_order ||===|| vendor==HARRAS @vend_inv# 162311, line 24. uni_inv# 162311, line 024",new line created for subscription order 510426F02: 510426F02/2,notify
2018-02-12 09:34:44," EDI_PROCESS_ORDER.do_inv_line_order ||===|| vendor==HARRAS @vend_inv# 162311, line 25. uni_inv# 162311, line 025",new line created for subscription order 1ACH9528: 1ACH9528/3,notify
2018-02-02 14:05:06,EDI_QUIT_ITEM.do_removes,"SUMMARY: titles removed==0, callnums removed==176, items removed==0",notify
2018-02-07 09:15:25," EDI_PROCESS_ORDER.do_inv_line_order:xcptn==stop_this_line  ||===|| vendor==CASALI @vend_inv# 18-04739, line 1. uni_inv# 18-04739, line 001",failed step==firm:verify_po on err==supplied PO# not in Unicorn:CAS6729454  edi_ckey:12086310,notify
2018-02-09 09:15:28," EDI_PROCESS_ORDER.do_inv_line_order ||===|| vendor==CASALI @vend_inv# 18-04739, line 1. uni_inv# 18-04739, line 001",new line created for order CAS6729454/: CAS6729454/2,notify
2018-02-13 09:15:26," EDI_PROCESS_ORDER.do_inv_line_order:xcptn==stop_this_line  ||===|| vendor==HARRAS @vend_inv# 162186, line 11. uni_inv# 162186, line 011","failed step==ordline_test on err==ordline HAR75426416/1 not usable:copies:1, cop_recd:0, cop_paid:0, title_match:<br>Uni_tit:CLOUDBURSTOFBLESSINGSTHEWATERINITIATIONOTHERRI<br>Edi_tit:VAJRAKILATEXTSOFTHENORTHERNTREASURESTRADITION<br>uni_ckey: 12317689<br>edi_ckey: 12326006",notify
2018-02-13 09:15:26," EDI_PROCESS_ORDER.do_inv_line_order:xcptn==stop_this_line  ||===|| vendor==HARRAS @vend_inv# 162315, line 47. uni_inv# 162315, line 047",failed step==approval:check_edi_ckey on err==no edi_ckey for this inv line and no ord ID cited!,notify
2018-02-14 09:16:38," EDI_PROCESS_ORDER.do_inv_line_order:xcptn==stop_this_line  ||===|| vendor==HARRAS @vend_inv# 162186, line 11. uni_inv# 162186, line 011","failed step==ordline_test on err==ordline HAR75426416/1 not usable:copies:1, cop_recd:0, cop_paid:0, title_match:<br>Uni_tit:CLOUDBURSTOFBLESSINGSTHEWATERINITIATIONOTHERRI<br>Edi_tit:VAJRAKILATEXTSOFTHENORTHERNTREASURESTRADITION<br>uni_ckey: 12317689<br>edi_ckey: 12326006",notify
2018-02-14 09:16:38," EDI_PROCESS_ORDER.do_inv_line_order:xcptn==stop_this_line  ||===|| vendor==HARRAS @vend_inv# 162315, line 47. uni_inv# 162315, line 047",failed step==approval:check_edi_ckey on err==no edi_ckey for this inv line and no ord ID cited!,notify
2018-02-14 09:19:13," EDI_PROCESS_ORDER.do_inv_line_order ||===|| vendor==CASALI @vend_inv# 18-05879, line 1. uni_inv# 18-05879, line 001",new line created for recurring CAS order 333887F00: 333887F00/3,notify
2018-02-14 09:19:16," EDI_PROCESS_ORDER.do_inv_line_order ||===|| vendor==CASALI @vend_inv# 18-05880, line 1. uni_inv# 18-05880, line 001",new line created for recurring CAS order 355739F00: 355739F00/2,notify
2018-02-22 09:21:26," EDI_PROCESS_ORDER.do_inv_line_order ||===|| vendor==COUTTS @vend_inv# I-40088980, line 1. uni_inv# I-40088980, line 001",new line created for recurring CAS order 174875F07: 174875F07/3,notify
2018-02-22 09:27:05," EDI_PROCESS_ORDER.do_inv_line_order ||===|| vendor==COUTTS @vend_inv# I-40088981, line 2. uni_inv# I-40088981, line 002",new line created for recurring CAS order 174595F07: 174595F07/4,notify
2018-02-22 09:27:09," EDI_PROCESS_ORDER.do_inv_line_order ||===|| vendor==COUTTS @vend_inv# I-40088981, line 1. uni_inv# I-40088981, line 001",new line created for recurring CAS order 174595F07: 174595F07/5,notify
2018-02-22 09:27:12," EDI_PROCESS_ORDER.do_inv_line_order ||===|| vendor==COUTTS @vend_inv# I-40088981, line 3. uni_inv# I-40088981, line 003",new line created for recurring CAS order 174881F07: 174881F07/4,notify
2018-02-22 09:49:47," EDI_PROCESS_ORDER.do_inv_line_order ||===|| vendor==COUTTS @vend_inv# I-40088983, line 9. uni_inv# I-40088983, line 009",new line created for recurring CAS order 520755F11: 520755F11/2,notify
2018-02-22 09:49:51," EDI_PROCESS_ORDER.do_inv_line_order ||===|| vendor==COUTTS @vend_inv# I-40088983, line 8. uni_inv# I-40088983, line 008",new line created for recurring CAS order 204689F08: 204689F08/2,notify
2018-02-22 09:49:52," EDI_PROCESS_ORDER.do_inv_line_order:xcptn==stop_this_line  ||===|| vendor==COUTTS @vend_inv# I-40088983, line 7. uni_inv# I-40088983, line 007",failed step==firm:verify_po on err==supplied PO# not in Unicorn:175281F07  edi_ckey:12357996,notify
2018-02-22 09:49:54," EDI_PROCESS_ORDER.do_inv_line_order ||===|| vendor==COUTTS @vend_inv# I-40088983, line 6. uni_inv# I-40088983, line 006",new line created for recurring CAS order 175010F07: 175010F07/12,notify
2018-02-22 09:49:58," EDI_PROCESS_ORDER.do_inv_line_order ||===|| vendor==COUTTS @vend_inv# I-40088983, line 5. uni_inv# I-40088983, line 005",new line created for recurring CAS order 175003F07: 175003F07/3,notify
2018-02-22 09:50:01," EDI_PROCESS_ORDER.do_inv_line_order ||===|| vendor==COUTTS @vend_inv# I-40088983, line 4. uni_inv# I-40088983, line 004",new line created for recurring CAS order 174958F07: 174958F07/13,notify
2018-02-22 09:50:08," EDI_PROCESS_ORDER.do_inv_line_order ||===|| vendor==COUTTS @vend_inv# I-40088983, line 1. uni_inv# I-40088983, line 001",new line created for recurring CAS order 174614F07: 174614F07/5,notify
2018-02-22 09:50:12," EDI_PROCESS_ORDER.do_inv_line_order ||===|| vendor==COUTTS @vend_inv# I-40088983, line 3. uni_inv# I-40088983, line 003",new line created for recurring CAS order 174860F07: 174860F07/2,notify
2018-02-22 09:50:15," EDI_PROCESS_ORDER.do_inv_line_order ||===|| vendor==COUTTS @vend_inv# I-40088983, line 2. uni_inv# I-40088983, line 002",new line created for recurring CAS order 174686F07: 174686F07/4,notify
2018-02-27 09:16:19," EDI_PROCESS_ORDER.do_inv_line_order:xcptn==stop_this_line  ||===|| vendor==HARRAS @vend_inv# 163788, line 2. uni_inv# 163788, line 002",failed step==approval:check_edi_ckey on err==no edi_ckey for this inv line and no ord ID cited!,notify
2018-02-27 09:16:19," EDI_PROCESS_ORDER.do_inv_line_order:xcptn==stop_this_line  ||===|| vendor==HARRAS @vend_inv# 163788, line 3. uni_inv# 163788, line 003",failed step==approval:check_edi_ckey on err==no edi_ckey for this inv line and no ord ID cited!,notify
2018-02-27 09:16:19," EDI_PROCESS_ORDER.do_inv_line_order:xcptn==stop_this_line  ||===|| vendor==HARRAS @vend_inv# 163788, line 4. uni_inv# 163788, line 004",failed step==approval:check_edi_ckey on err==no edi_ckey for this inv line and no ord ID cited!,notify
2018-02-27 09:16:19," EDI_PROCESS_ORDER.do_inv_line_order:xcptn==stop_this_line  ||===|| vendor==HARRAS @vend_inv# 163788, line 5. uni_inv# 163788, line 005",failed step==approval:check_edi_ckey on err==no edi_ckey for this inv line and no ord ID cited!,notify
2018-02-27 09:16:19," EDI_PROCESS_ORDER.do_inv_line_order:xcptn==stop_this_line  ||===|| vendor==HARRAS @vend_inv# 163788, line 6. uni_inv# 163788, line 006",failed step==approval:check_edi_ckey on err==no edi_ckey for this inv line and no ord ID cited!,notify
2018-02-27 09:16:19," EDI_PROCESS_ORDER.do_inv_line_order:xcptn==stop_this_line  ||===|| vendor==HARRAS @vend_inv# 163788, line 9. uni_inv# 163788, line 009",failed step==approval:check_edi_ckey on err==no edi_ckey for this inv line and no ord ID cited!,notify
2018-02-27 09:16:19," EDI_PROCESS_ORDER.do_inv_line_order:xcptn==stop_this_line  ||===|| vendor==HARRAS @vend_inv# 163788, line 10. uni_inv# 163788, line 010",failed step==approval:check_edi_ckey on err==no edi_ckey for this inv line and no ord ID cited!,notify
2018-02-27 09:16:19," EDI_PROCESS_ORDER.do_inv_line_order:xcptn==stop_this_line  ||===|| vendor==HARRAS @vend_inv# 163788, line 11. uni_inv# 163788, line 011",failed step==approval:check_edi_ckey on err==no edi_ckey for this inv line and no ord ID cited!,notify
2018-02-27 09:16:19," EDI_PROCESS_ORDER.do_inv_line_order:xcptn==stop_this_line  ||===|| vendor==HARRAS @vend_inv# 163788, line 12. uni_inv# 163788, line 012",failed step==approval:check_edi_ckey on err==no edi_ckey for this inv line and no ord ID cited!,notify
2018-02-27 09:16:19," EDI_PROCESS_ORDER.do_inv_line_order:xcptn==stop_this_line  ||===|| vendor==HARRAS @vend_inv# 163788, line 50. uni_inv# 163788, line 050",failed step==approval:check_edi_ckey on err==no edi_ckey for this inv line and no ord ID cited!,notify
2018-02-27 09:16:19," EDI_PROCESS_ORDER.do_inv_line_order:xcptn==stop_this_line  ||===|| vendor==HARRAS @vend_inv# 163788, line 15. uni_inv# 163788, line 015",failed step==approval:check_edi_ckey on err==no edi_ckey for this inv line and no ord ID cited!,notify
2018-02-27 09:16:19," EDI_PROCESS_ORDER.do_inv_line_order:xcptn==stop_this_line  ||===|| vendor==HARRAS @vend_inv# 163788, line 16. uni_inv# 163788, line 016",failed step==approval:check_edi_ckey on err==no edi_ckey for this inv line and no ord ID cited!,notify
2018-02-27 09:16:19," EDI_PROCESS_ORDER.do_inv_line_order:xcptn==stop_this_line  ||===|| vendor==HARRAS @vend_inv# 163788, line 17. uni_inv# 163788, line 017",failed step==approval:check_edi_ckey on err==no edi_ckey for this inv line and no ord ID cited!,notify
2018-02-27 09:16:19," EDI_PROCESS_ORDER.do_inv_line_order:xcptn==stop_this_line  ||===|| vendor==HARRAS @vend_inv# 163788, line 19. uni_inv# 163788, line 019",failed step==approval:check_edi_ckey on err==no edi_ckey for this inv line and no ord ID cited!,notify
2018-02-27 09:16:19," EDI_PROCESS_ORDER.do_inv_line_order:xcptn==stop_this_line  ||===|| vendor==HARRAS @vend_inv# 163788, line 20. uni_inv# 163788, line 020",failed step==approval:check_edi_ckey on err==no edi_ckey for this inv line and no ord ID cited!,notify
2018-02-27 09:16:19," EDI_PROCESS_ORDER.do_inv_line_order:xcptn==stop_this_line  ||===|| vendor==HARRAS @vend_inv# 163788, line 22. uni_inv# 163788, line 022",failed step==approval:check_edi_ckey on err==no edi_ckey for this inv line and no ord ID cited!,notify
2018-02-27 09:16:19," EDI_PROCESS_ORDER.do_inv_line_order:xcptn==stop_this_line  ||===|| vendor==HARRAS @vend_inv# 163788, line 24. uni_inv# 163788, line 024",failed step==approval:check_edi_ckey on err==no edi_ckey for this inv line and no ord ID cited!,notify
2018-02-27 09:16:19," EDI_PROCESS_ORDER.do_inv_line_order:xcptn==stop_this_line  ||===|| vendor==HARRAS @vend_inv# 163788, line 25. uni_inv# 163788, line 025",failed step==approval:check_edi_ckey on err==no edi_ckey for this inv line and no ord ID cited!,notify
2018-02-27 09:16:19," EDI_PROCESS_ORDER.do_inv_line_order:xcptn==stop_this_line  ||===|| vendor==HARRAS @vend_inv# 163788, line 29. uni_inv# 163788, line 029",failed step==approval:check_edi_ckey on err==no edi_ckey for this inv line and no ord ID cited!,notify
2018-02-27 09:16:19," EDI_PROCESS_ORDER.do_inv_line_order:xcptn==stop_this_line  ||===|| vendor==HARRAS @vend_inv# 163789, line 19. uni_inv# 163789, line 019",failed step==approval:check_edi_ckey on err==no edi_ckey for this inv line and no ord ID cited!,notify
2018-02-27 09:16:19," EDI_PROCESS_ORDER.do_inv_line_order:xcptn==stop_this_line  ||===|| vendor==HARRAS @vend_inv# 163789, line 18. uni_inv# 163789, line 018",failed step==approval:check_edi_ckey on err==no edi_ckey for this inv line and no ord ID cited!,notify
2018-02-27 09:16:19," EDI_PROCESS_ORDER.do_inv_line_order:xcptn==stop_this_line  ||===|| vendor==HARRAS @vend_inv# 163789, line 13. uni_inv# 163789, line 013",failed step==approval:check_edi_ckey on err==no edi_ckey for this inv line and no ord ID cited!,notify
2018-02-27 09:16:19," EDI_PROCESS_ORDER.do_inv_line_order:xcptn==stop_this_line  ||===|| vendor==HARRAS @vend_inv# 163789, line 12. uni_inv# 163789, line 012",failed step==approval:check_edi_ckey on err==no edi_ckey for this inv line and no ord ID cited!,notify
2018-02-27 09:16:19," EDI_PROCESS_ORDER.do_inv_line_order:xcptn==stop_this_line  ||===|| vendor==HARRAS @vend_inv# 163789, line 2. uni_inv# 163789, line 002",failed step==approval:check_edi_ckey on err==no edi_ckey for this inv line and no ord ID cited!,notify
2018-02-27 09:16:19," EDI_PROCESS_ORDER.do_inv_line_order:xcptn==stop_this_line  ||===|| vendor==HARRAS @vend_inv# 163789, line 10. uni_inv# 163789, line 010",failed step==approval:check_edi_ckey on err==no edi_ckey for this inv line and no ord ID cited!,notify
2018-02-27 09:16:19," EDI_PROCESS_ORDER.do_inv_line_order:xcptn==stop_this_line  ||===|| vendor==HARRAS @vend_inv# 163789, line 6. uni_inv# 163789, line 006",failed step==approval:check_edi_ckey on err==no edi_ckey for this inv line and no ord ID cited!,notify
2018-02-27 09:16:19," EDI_PROCESS_ORDER.do_inv_line_order:xcptn==stop_this_line  ||===|| vendor==HARRAS @vend_inv# 163789, line 5. uni_inv# 163789, line 005",failed step==approval:check_edi_ckey on err==no edi_ckey for this inv line and no ord ID cited!,notify
2018-02-27 09:16:19," EDI_PROCESS_ORDER.do_inv_line_order:xcptn==stop_this_line  ||===|| vendor==HARRAS @vend_inv# 163789, line 3. uni_inv# 163789, line 003",failed step==approval:check_edi_ckey on err==no edi_ckey for this inv line and no ord ID cited!,notify
2018-02-27 09:16:19," EDI_PROCESS_ORDER.do_inv_line_order:xcptn==stop_this_line  ||===|| vendor==HARRAS @vend_inv# 163789, line 11. uni_inv# 163789, line 011",failed step==approval:check_edi_ckey on err==no edi_ckey for this inv line and no ord ID cited!,notify
2018-02-27 09:16:31," EDI_PROCESS_ORDER.do_inv_line_order ||===|| vendor==CASALI @vend_inv# 18-08062, line 2. uni_inv# 18-08062, line 002",new line created for recurring CAS order 911856F15: 911856F15/2,notify
2018-02-27 09:16:34," EDI_PROCESS_ORDER.do_inv_line_order ||===|| vendor==CASALI @vend_inv# 18-08062, line 1. uni_inv# 18-08062, line 001",new line created for recurring CAS order 911856F15: 911856F15/3,notify
2018-02-27 09:16:38," EDI_PROCESS_ORDER.do_inv_line_order ||===|| vendor==CASALI @vend_inv# 18-08063, line 1. uni_inv# 18-08063, line 001",new line created for recurring CAS order 340822F00: 340822F00/2,notify
2018-02-27 09:16:41," EDI_PROCESS_ORDER.do_inv_line_order ||===|| vendor==CASALI @vend_inv# 18-08063, line 2. uni_inv# 18-08063, line 002",new line created for recurring CAS order 468678F01: 468678F01/3,notify
2017-12-22 14:24:56,EDI_QUIT_ITEM.do_removes,"SUMMARY: titles removed==0, callnums removed==722, items removed==0",notify
2017-12-25 09:32:51," EDI_PROCESS_ORDER.do_inv_line_order ||===|| vendor==HARRAS @vend_inv# 157528, line 10. uni_inv# 157528, line 010",new line created for recurring CAS order 317511F00: 317511F00/22,notify
2017-12-25 09:32:57," EDI_PROCESS_ORDER.do_inv_line_order ||===|| vendor==HARRAS @vend_inv# 157528, line 9. uni_inv# 157528, line 009",new line created for recurring CAS order 1ABX5441: 1ABX5441/4,notify
2017-12-25 09:33:03," EDI_PROCESS_ORDER.do_inv_line_order ||===|| vendor==HARRAS @vend_inv# 157528, line 8. uni_inv# 157528, line 008",new line created for recurring CAS order 1APD7392: 1APD7392/2,notify
2017-12-25 09:33:09," EDI_PROCESS_ORDER.do_inv_line_order ||===|| vendor==HARRAS @vend_inv# 157528, line 7. uni_inv# 157528, line 007",new line created for recurring CAS order 202704F08: 202704F08/3,notify
2017-12-25 09:33:15," EDI_PROCESS_ORDER.do_inv_line_order ||===|| vendor==HARRAS @vend_inv# 157528, line 5. uni_inv# 157528, line 005",new line created for recurring CAS order 753182F13: 753182F13/3,notify
2017-12-25 09:33:21," EDI_PROCESS_ORDER.do_inv_line_order ||===|| vendor==HARRAS @vend_inv# 157528, line 4. uni_inv# 157528, line 004",new line created for recurring CAS order 265144F99: 265144F99/2,notify
2017-12-25 09:33:27," EDI_PROCESS_ORDER.do_inv_line_order ||===|| vendor==HARRAS @vend_inv# 157528, line 3. uni_inv# 157528, line 003",new line created for recurring CAS order 1ACJ3314: 1ACJ3314/3,notify
2017-12-25 09:33:33," EDI_PROCESS_ORDER.do_inv_line_order ||===|| vendor==HARRAS @vend_inv# 157528, line 2. uni_inv# 157528, line 002",new line created for recurring CAS order 731375F01: 731375F01/18,notify
